0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0.05463164	-0.063210554	-0.14939971	-0.4073489	0.31219584	0.26439127	0.12511571	0.26828334	0.24506061	-0.3424718	-0.26389104	-0.6406832	-0.26792374	0.0052067353	-0.11065941	-0.30040488	-0.17892097	0.09933517	-0.35511684	-0.40785888	0.064453244	0.2466873	0.33105198	-0.44913813	-0.030093178	0.6052012	-0.052390993	0.25165573	-0.2335242	0.39999083	-0.22296695	-0.10058453	-0.41671857	-0.20591617	-0.32130668	0.39854586	0.501343	0.09519813	0.25462905	-0.03842704	0.45547318	0.45217574	0.15092005	-0.24133314	0.5943064	-0.06782219	0.27652976	0.26028103	0.26886567	0.16931354
0.056789532	-0.060481045	-0.1481229	-0.3981373	0.30214056	0.2565633	0.11984526	0.25981778	0.23916598	-0.3315254	-0.25706282	-0.62451273	-0.26153353	0.0030026145	-0.111259826	-0.28853106	-0.1761516	0.09818236	-0.34191144	-0.3981955	0.06508811	0.24192183	0.3243844	-0.43555292	-0.0290677	0.5901975	-0.051864322	0.24310054	-0.22974771	0.38985506	-0.21729401	-0.09459752	-0.4045406	-0.20273842	-0.30861965	0.38935012	0.48599657	0.09025617	0.24868903	-0.037661176	0.44632795	0.44533363	0.14388725	-0.23295444	0.5798076	-0.070004046	0.2696982	0.25352007	0.26558408	0.16575675
0.021241102	-0.081543416	-0.18156646	-0.45175236	0.32557166	0.30111334	0.14043415	0.30724132	0.28463292	-0.4181064	-0.30802724	-0.69556177	-0.27335566	0.021705663	-0.12251826	-0.3327068	-0.25148946	0.13722883	-0.35296595	-0.42385402	0.04695391	0.26005447	0.37238178	-0.47720632	-0.06883662	0.6642126	-0.051331114	0.30379573	-0.23892947	0.44806665	-0.27060542	-0.1490496	-0.44440615	-0.23480567	-0.3723306	0.4976801	0.5676932	0.11048252	0.29042652	-0.108243786	0.51255625	0.47451353	0.121124566	-0.23071417	0.66167516	-0.102312796	0.32167354	0.33892992	0.30535766	0.21867573
0.057700053	-0.06467888	-0.15608655	-0.41299653	0.31692	0.26707485	0.12460968	0.27121538	0.24899323	-0.34435132	-0.26575887	-0.64972144	-0.27150777	0.0046776645	-0.115724124	-0.30235457	-0.18204464	0.10411356	-0.35751462	-0.41979706	0.06576576	0.2484792	0.33595914	-0.45082587	-0.031432994	0.61371416	-0.050617304	0.25346234	-0.23706752	0.40542254	-0.22572865	-0.098402485	-0.42298365	-0.2074026	-0.32501537	0.40428007	0.50852394	0.09326854	0.2574946	-0.039710857	0.46616364	0.45553222	0.14994006	-0.24369228	0.6032769	-0.07251771	0.2811253	0.26331916	0.27772394	0.16961521
0.06571319	-0.076069474	-0.17638768	-0.4807464	0.358379	0.31378597	0.14294888	0.3170898	0.28298962	-0.3991986	-0.31208798	-0.7522586	-0.30932546	0.0036423742	-0.13772543	-0.35069808	-0.2089591	0.12357553	-0.41085076	-0.48098424	0.07817979	0.28683594	0.39183816	-0.51678526	-0.03836692	0.71053195	-0.061296366	0.29250965	-0.2781536	0.47443262	-0.25852203	-0.11939442	-0.48240957	-0.24418756	-0.37620884	0.46817762	0.59465	0.10306513	0.29965028	-0.046601925	0.5344548	0.52607113	0.17192763	-0.27860907	0.6956954	-0.08095622	0.32187968	0.30551702	0.32029215	0.19877738
0.06411587	-0.0692039	-0.16777684	-0.44999453	0.34317207	0.2926541	0.1362304	0.29790166	0.2681476	-0.3695063	-0.28806382	-0.70922995	-0.2968316	0.0052386904	-0.12722164	-0.32995036	-0.19693282	0.11209157	-0.3884332	-0.45386434	0.072859846	0.2708169	0.37008044	-0.4877888	-0.03229608	0.6691127	-0.061892565	0.2709703	-0.26052088	0.43891585	-0.24487759	-0.106643215	-0.45661387	-0.22793399	-0.34716848	0.4369498	0.55629027	0.10022447	0.2833433	-0.037170097	0.5070862	0.50137293	0.16243759	-0.26873022	0.655475	-0.081997246	0.306091	0.29165196	0.29598087	0.18332523
0.0646592	-0.06868474	-0.16945799	-0.4543209	0.34103417	0.29392025	0.1334647	0.29900247	0.27062678	-0.37568265	-0.2927476	-0.7093308	-0.29514414	0.0018921813	-0.12975866	-0.3320945	-0.19538979	0.11175127	-0.38952947	-0.4546253	0.07276012	0.27027974	0.36892658	-0.49428698	-0.033724155	0.6707269	-0.059646964	0.2744355	-0.262519	0.4445591	-0.2425756	-0.10974215	-0.46166924	-0.22739992	-0.35611984	0.43990245	0.5626979	0.10062088	0.28207743	-0.038371217	0.50812054	0.50406563	0.16399255	-0.26839232	0.6552275	-0.077502236	0.3063913	0.28737685	0.30276608	0.1828275
0.058063	-0.063809186	-0.15130848	-0.40917638	0.31163284	0.26495805	0.119937405	0.26627424	0.23977065	-0.3379433	-0.26361296	-0.64183104	-0.2670498	0.008579136	-0.11622794	-0.29799995	-0.17920302	0.10237169	-0.3507533	-0.4087054	0.06542685	0.2433819	0.33585587	-0.44339314	-0.030931488	0.604008	-0.05312569	0.24964191	-0.23706575	0.39816454	-0.21703102	-0.095838994	-0.41439247	-0.20661479	-0.3152317	0.39358643	0.50113595	0.0875258	0.25455114	-0.033195548	0.45617905	0.45173547	0.14739022	-0.24068168	0.5924106	-0.07036639	0.27567554	0.2567355	0.27095407	0.1668861
0.061216425	-0.06922228	-0.162653	-0.4398295	0.3313953	0.28381294	0.13239327	0.2861967	0.25932267	-0.3583182	-0.28422105	-0.6895365	-0.28783754	0.003614691	-0.12070765	-0.3199606	-0.19405483	0.10846597	-0.3742612	-0.4396755	0.06981281	0.2638178	0.35756436	-0.47477496	-0.03471789	0.64793986	-0.05741797	0.26450732	-0.25097036	0.42772025	-0.23480776	-0.101906195	-0.4430281	-0.21828589	-0.33888212	0.4240643	0.539497	0.09747922	0.2693177	-0.03922567	0.48811346	0.48692876	0.15680505	-0.2567067	0.6326778	-0.074140005	0.2958133	0.27805048	0.28890246	0.17934799
0.024343377	-0.064743586	-0.13656834	-0.36561173	0.2708905	0.24173656	0.106957816	0.24430744	0.22278643	-0.32534516	-0.24497253	-0.5722897	-0.22847068	0.014938489	-0.098709114	-0.26378837	-0.19506316	0.10578879	-0.28947166	-0.3499597	0.042855352	0.21590002	0.30489448	-0.39932892	-0.049113277	0.5413808	-0.038163643	0.24490005	-0.19779992	0.3596959	-0.21085325	-0.109930046	-0.36486167	-0.18680616	-0.30045503	0.38898882	0.45963007	0.088068396	0.23733214	-0.066885024	0.41548103	0.3855442	0.109795526	-0.19171496	0.5344763	-0.074918486	0.26028782	0.26062694	0.24628317	0.1656078
