0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
-0.15771924	0.09969395	0.0024814212	0.098926485	-0.13472973	-0.27961072	0.270125	0.6442163	-0.08508999	-0.07484604	-0.27749443	-0.5361176	-0.02626238	-0.009963595	0.049128156	-0.07591521	-0.02007561	-0.20225854	-0.18935353	-0.5309494	0.041348707	0.049390767	-0.03395318	0.06723828	-0.098234035	-0.06602797	-0.18517776	0.090036996	-0.24769373	-0.031346455	0.50303936	-0.07762283	0.16590603	-0.23490427	0.063407615	0.36604154	0.15549755	-0.1900617	-0.24478608	-0.4917265	0.19698715	-0.33217847	0.042736646	0.16428234	0.15098618	0.105748534	-0.3677417	-0.042626802	0.026571317	0.09666958	0.099468835	-0.02201504	-0.08026727	-0.054158375	0.009273713	0.28673613	-0.13280518	0.109850414	-0.1442803	0.090286285	0.299356	0.039806616	-0.31755018	0.03838368	-0.16612683	0.4447137	0.012583702	0.07701702	-0.32295215	0.053293318	-0.23899406	0.12087563	0.19918863	0.18907201	0.2640108	0.08667392	0.38154867	-0.14273411	-0.29831484	0.07175391	-0.119657494	-0.10741974	-0.34426072	0.32884538	-0.105600566	-0.2074316	0.039825507	0.03967053	0.33181942	0.026453355	0.13493685	-0.013975819	-0.09239134	-0.023566203	0.21955095	0.24018204	-0.011073615	-0.1797595	0.30044803	0.05432862
-0.15193452	0.096877135	0.004663404	0.09645336	-0.13026302	-0.27285936	0.26271552	0.62619334	-0.083678134	-0.07248339	-0.27067557	-0.52314895	-0.026613722	-0.009743731	0.04629106	-0.075720005	-0.017909395	-0.19783673	-0.1857054	-0.5163175	0.0371633	0.046714544	-0.03377371	0.06365649	-0.09327342	-0.06256127	-0.18203764	0.086333536	-0.24149376	-0.03056631	0.48981038	-0.075848006	0.16277622	-0.22748531	0.06106542	0.3558031	0.15103424	-0.18255569	-0.23895015	-0.47917038	0.19180009	-0.32263416	0.041535445	0.15943024	0.1447616	0.10473251	-0.35808268	-0.04149278	0.026455794	0.09401325	0.09716944	-0.020428507	-0.078252174	-0.053274024	0.0082612345	0.2796314	-0.1290008	0.109837286	-0.14030553	0.08880782	0.29075482	0.03913771	-0.30829078	0.037487075	-0.16128892	0.43301404	0.010583313	0.073693655	-0.3149029	0.051001247	-0.2309404	0.117411815	0.19260497	0.18487717	0.25562245	0.083224036	0.37112492	-0.13701405	-0.29436457	0.07087281	-0.11719284	-0.10443289	-0.33489418	0.32065782	-0.10134451	-0.20226866	0.03970153	0.038695462	0.32222193	0.025404133	0.13174629	-0.013151538	-0.09121408	-0.022579158	0.2155508	0.23606369	-0.012497331	-0.17447728	0.29309243	0.052818324
-0.15970743	0.10885601	-0.00945384	0.10316014	-0.1424009	-0.32993385	0.3105014	0.7095961	-0.11066034	-0.08025903	-0.31181258	-0.59362304	-0.03401607	-0.008393611	0.068623506	-0.08490986	-0.0128474515	-0.22301038	-0.20682375	-0.5836228	0.0070509235	0.06706946	-0.030693261	0.08124028	-0.10472627	-0.08834741	-0.2204704	0.0858457	-0.278953	-0.042047653	0.5376046	-0.0932563	0.21197638	-0.25501767	0.067964256	0.4209509	0.16787115	-0.1981463	-0.27522945	-0.55622536	0.21555999	-0.3861169	0.041612413	0.20327623	0.17167659	0.1257879	-0.4096653	-0.053070683	0.015067453	0.11412928	0.11098519	0.0016269912	-0.09133243	-0.065827385	0.009862786	0.30024046	-0.1441213	0.10785691	-0.17908263	0.10963825	0.33984658	0.04250455	-0.34630275	0.04662933	-0.19385774	0.49448696	0.021665826	0.06987984	-0.35545576	0.04205287	-0.27038106	0.14124846	0.20899068	0.19746217	0.30122688	0.11278003	0.43209055	-0.1690402	-0.33529142	0.1007208	-0.11803699	-0.13001175	-0.38792303	0.36161837	-0.11325837	-0.23058936	0.053479254	0.037453182	0.3798079	0.05379912	0.14409694	0.008364471	-0.08798037	-0.040696006	0.25882554	0.28689125	-0.032031447	-0.16898139	0.319167	0.04592652
-0.15968339	0.09935485	0.0029638433	0.10124847	-0.13557822	-0.28577924	0.2746103	0.652177	-0.08701005	-0.07673581	-0.2827149	-0.543548	-0.028354727	-0.01115935	0.0497114	-0.07927467	-0.019591656	-0.20558678	-0.19279575	-0.5352693	0.038439132	0.049033478	-0.034184035	0.06623997	-0.09908675	-0.06586258	-0.18996029	0.089774646	-0.24936505	-0.030772123	0.5078651	-0.07788326	0.17030434	-0.2368721	0.062573254	0.36930156	0.15706523	-0.19075152	-0.24909084	-0.49875322	0.20024027	-0.33571646	0.044505835	0.1661582	0.1522705	0.10813805	-0.37254158	-0.045128092	0.026612362	0.097674064	0.101451695	-0.021978553	-0.0813808	-0.056568928	0.008473573	0.29153666	-0.13323483	0.11400545	-0.14628007	0.09290476	0.30340075	0.040031593	-0.32098758	0.0387988	-0.16862594	0.45020342	0.011149411	0.07656402	-0.3287803	0.052625086	-0.24243225	0.12258142	0.20231071	0.19266275	0.26611692	0.08626598	0.38635483	-0.14345288	-0.30493185	0.0750696	-0.121251665	-0.109377824	-0.34760827	0.33462846	-0.105893865	-0.20916875	0.041209538	0.040692568	0.3366926	0.026856588	0.1360444	-0.013361848	-0.09467603	-0.023115728	0.22318275	0.24619347	-0.012736649	-0.17886724	0.30348602	0.055515222
-0.18405728	0.11645791	0.0042770635	0.11408615	-0.1573538	-0.33010915	0.3179424	0.75386596	-0.10170329	-0.08741212	-0.32424057	-0.62776315	-0.03232795	-0.012915682	0.057541687	-0.08894964	-0.019504584	-0.238277	-0.22253698	-0.62085056	0.041317724	0.055921398	-0.03990428	0.07867397	-0.11605489	-0.07585629	-0.22028334	0.10392978	-0.28923094	-0.03500792	0.5879708	-0.09001511	0.19780251	-0.27257735	0.07255226	0.42680553	0.17869216	-0.21986279	-0.28688404	-0.57701576	0.23160851	-0.38963097	0.050912336	0.1909318	0.17551889	0.12466094	-0.43001014	-0.051585324	0.033121765	0.11462759	0.11532755	-0.023612704	-0.09340766	-0.0641884	0.011449039	0.3366791	-0.15626355	0.12944722	-0.17105408	0.10865216	0.3521153	0.044104766	-0.36965743	0.04477815	-0.19182426	0.5193549	0.015155491	0.08822447	-0.37988093	0.060447127	-0.27604878	0.14057319	0.23187177	0.2188593	0.30922812	0.101746395	0.44640255	-0.16588475	-0.35271472	0.08962366	-0.1378039	-0.12557791	-0.40400782	0.38653505	-0.122236244	-0.24273415	0.048010148	0.04872831	0.38977322	0.03148346	0.1569911	-0.015414221	-0.10862159	-0.02936513	0.25941658	0.28375182	-0.01728763	-0.20801696	0.3504549	0.06500385
-0.1729811	0.10952528	0.005929903	0.11030326	-0.14712632	-0.3075655	0.29847512	0.70846575	-0.094349466	-0.08136943	-0.3065704	-0.59154546	-0.029859576	-0.01161363	0.053328287	-0.08480401	-0.022064332	-0.22440809	-0.21106558	-0.5844352	0.044156462	0.054245975	-0.03857731	0.07272439	-0.107942134	-0.0719349	-0.20673436	0.099528454	-0.27242696	-0.033503346	0.55576617	-0.08548618	0.18481103	-0.25719956	0.06964947	0.39989325	0.1709325	-0.21064201	-0.27237132	-0.54282224	0.2176377	-0.36697268	0.047596753	0.17853989	0.16674128	0.118012786	-0.40597004	-0.045420043	0.03152867	0.105450064	0.10972826	-0.02488877	-0.08923662	-0.0617873	0.011854378	0.31825215	-0.14585127	0.12596157	-0.15986647	0.10123457	0.3318422	0.043848183	-0.35080004	0.041291077	-0.18212539	0.49064285	0.012190732	0.08273769	-0.35727996	0.058974415	-0.26425976	0.13256408	0.21825704	0.2089517	0.28914696	0.09236871	0.4196534	-0.15544896	-0.33330685	0.07956537	-0.13277756	-0.118053935	-0.37936643	0.36583647	-0.114281565	-0.23026961	0.045670148	0.044784416	0.36656272	0.029385537	0.14814684	-0.017740633	-0.103165075	-0.022826523	0.24294996	0.26712102	-0.015571503	-0.19553703	0.32979918	0.059413306
-0.17455074	0.1115085	0.003970136	0.107995145	-0.14771143	-0.31127954	0.30013195	0.71302736	-0.09463365	-0.08392594	-0.3060549	-0.5939624	-0.03127201	-0.013569544	0.05415551	-0.08513709	-0.020808702	-0.22547466	-0.21143259	-0.5858472	0.042312864	0.052821454	-0.038238954	0.07323809	-0.10685024	-0.070934616	-0.20639892	0.10013016	-0.27294898	-0.033750683	0.5574987	-0.08336653	0.18553968	-0.25853938	0.070090614	0.40390068	0.17128181	-0.2085035	-0.27225786	-0.54624414	0.21852085	-0.36603382	0.049431358	0.18005471	0.16542687	0.1179693	-0.4053381	-0.04912835	0.032029755	0.1054768	0.10884391	-0.025997786	-0.090750456	-0.06235655	0.009715636	0.3194522	-0.14847977	0.12390039	-0.15884463	0.10165974	0.33191714	0.043264303	-0.34986368	0.042478554	-0.18105073	0.49133578	0.011828486	0.084973596	-0.35884947	0.059099276	-0.26181158	0.13286951	0.2198201	0.21180443	0.29250637	0.094912186	0.42342776	-0.15664685	-0.3331553	0.08164061	-0.1330251	-0.12010108	-0.380591	0.36802077	-0.114971854	-0.22984096	0.044982057	0.04658005	0.36704698	0.027228191	0.14833659	-0.015111573	-0.10174552	-0.026108824	0.24499957	0.26796713	-0.013834035	-0.19838229	0.33287895	0.06115092
-0.15683727	0.10093764	0.0050869146	0.09791854	-0.13307041	-0.28023452	0.26869917	0.641745	-0.08489015	-0.07540882	-0.27620023	-0.53474736	-0.027472626	-0.00989458	0.049441516	-0.07684215	-0.019035345	-0.20251149	-0.1898591	-0.52873546	0.03822766	0.04855158	-0.035275374	0.06551201	-0.09749609	-0.064842656	-0.18573894	0.08906162	-0.24671444	-0.030338569	0.5024231	-0.07662177	0.16525768	-0.2340298	0.06287044	0.36353636	0.1552187	-0.18626164	-0.2465596	-0.4923997	0.1979248	-0.32984734	0.042967964	0.16275789	0.15081285	0.10587954	-0.36619413	-0.041836876	0.027976243	0.095934406	0.09903472	-0.022919612	-0.081246875	-0.05471165	0.009097174	0.286488	-0.13094005	0.11168275	-0.14283572	0.090304084	0.29672098	0.038526222	-0.31733754	0.03924236	-0.16395499	0.44287056	0.010859283	0.07489856	-0.32316962	0.05283637	-0.23725776	0.12166815	0.19778007	0.18942237	0.26205686	0.083956376	0.3798671	-0.1408658	-0.29902306	0.07248029	-0.1192656	-0.10732609	-0.3422865	0.32884955	-0.10408472	-0.20591664	0.03810751	0.039689902	0.3304764	0.026373882	0.13272262	-0.014455393	-0.092933476	-0.022233048	0.21981277	0.24050891	-0.0127629945	-0.17945953	0.29896253	0.053932343
-0.16723828	0.10733845	0.006096288	0.10533614	-0.14461006	-0.3000502	0.2890295	0.68984467	-0.09176474	-0.08110636	-0.29464313	-0.5755533	-0.030814579	-0.011474164	0.04990276	-0.080928646	-0.020784047	-0.21691203	-0.20252746	-0.5651134	0.0409627	0.049288232	-0.036976498	0.07126562	-0.1046232	-0.06885462	-0.199302	0.09542812	-0.26540437	-0.03397343	0.5367112	-0.081434846	0.17719775	-0.2507288	0.06792681	0.38983533	0.16515811	-0.20201088	-0.26270923	-0.5260564	0.21228477	-0.35313722	0.044103775	0.17431533	0.16108814	0.113988444	-0.3910368	-0.045062646	0.029455975	0.10187669	0.107435755	-0.022796383	-0.08571131	-0.059757832	0.009146689	0.3079226	-0.14044584	0.120306134	-0.15428871	0.097451925	0.31876832	0.043106813	-0.34038255	0.040612027	-0.17588438	0.47447592	0.01253206	0.08134017	-0.34678733	0.056306735	-0.2515004	0.12922825	0.21170911	0.20198241	0.2806221	0.092003964	0.40673906	-0.15120018	-0.32227337	0.07785362	-0.12923224	-0.11493887	-0.36811525	0.35557255	-0.11284156	-0.22129306	0.041824132	0.042294893	0.35322234	0.02783826	0.14398265	-0.013993948	-0.09828433	-0.02331648	0.23557355	0.2588789	-0.012271041	-0.19140711	0.32068786	0.057298027
-0.13300821	0.088531405	-0.0044528237	0.085467204	-0.11595499	-0.26240227	0.24740326	0.57464474	-0.08775919	-0.06266962	-0.2528074	-0.48063412	-0.026139256	-0.004769777	0.052438688	-0.07225289	-0.012685223	-0.18138818	-0.16746053	-0.47533056	0.013498425	0.05196447	-0.02785259	0.06335532	-0.086288445	-0.06853659	-0.17440704	0.07451895	-0.22252236	-0.033982567	0.43827015	-0.07391228	0.16793114	-0.20628834	0.0528745	0.33721974	0.13898326	-0.16231313	-0.22249217	-0.44611508	0.17577066	-0.3076606	0.034491483	0.16215864	0.13685858	0.10163246	-0.3312432	-0.044991974	0.014968874	0.091864906	0.08951665	-0.0043465504	-0.0738461	-0.052647755	0.0058391863	0.24621359	-0.1166684	0.09007697	-0.14117123	0.08680045	0.275198	0.036971245	-0.2818248	0.03655671	-0.1538086	0.3986349	0.015917335	0.061731696	-0.28615636	0.038672943	-0.21883067	0.113849945	0.17234923	0.16417792	0.24372244	0.08510659	0.34761733	-0.13596383	-0.27140746	0.07440944	-0.09903761	-0.10507476	-0.3147195	0.29206818	-0.095236726	-0.1854324	0.039568957	0.030128254	0.30491015	0.040794082	0.116299465	0.0004108478	-0.074575864	-0.030235482	0.20383234	0.23047166	-0.020999543	-0.14137763	0.26064837	0.04109123
